iter	Passed	Remaining
0	2	208
1	3	189
2	5	182
3	7	172
4	9	181
5	11	177
6	13	173
7	14	168
8	16	163
9	17	159
10	19	157
11	21	155
12	22	151
13	24	148
14	25	145
15	27	141
16	28	141
17	30	139
18	32	137
19	33	135
20	35	133
21	37	132
22	39	132
23	41	130
24	42	128
25	44	125
26	45	123
27	47	122
28	49	121
29	51	120
30	53	118
31	55	117
32	57	116
33	58	114
34	60	112
35	62	110
36	63	108
37	65	106
38	69	109
39	71	107
40	73	105
41	73	102
42	75	99
43	77	98
44	79	96
45	80	94
46	82	92
47	84	91
48	86	89
49	88	88
50	90	86
51	91	84
52	93	82
53	95	81
54	96	78
55	99	77
56	100	75
57	102	73
58	103	72
59	105	70
60	106	68
61	108	66
62	110	64
63	111	62
64	112	60
65	114	58
66	115	57
67	117	55
68	118	53
69	120	51
70	121	49
71	122	47
72	124	45
73	125	44
74	127	42
75	128	40
76	130	38
77	132	37
78	133	35
79	134	33
80	136	31
81	137	30
82	139	28
83	140	26
84	142	25
85	143	23
86	147	22
87	151	20
88	154	19
89	157	17
90	161	15
91	164	14
92	169	12
93	173	11
94	176	9
95	180	7
96	182	5
97	184	3
98	185	1
99	187	0
