iter	Passed	Remaining
0	288	288160
1	290	144769
2	326	108558
3	328	81836
4	330	65837
5	333	55187
6	336	47683
7	338	42001
8	340	37513
9	342	33933
10	344	31000
11	347	28602
12	349	26553
13	351	24773
14	354	23285
15	356	21942
16	358	20753
17	362	19792
18	364	18834
19	366	17969
20	369	17205
21	370	16486
22	384	16317
23	389	15848
24	394	15390
25	397	14886
26	401	14454
27	403	13992
28	405	13570
29	412	13341
30	415	12982
31	421	12743
32	426	12506
33	429	12200
34	432	11917
35	434	11624
36	436	11349
37	441	11167
38	442	10915
39	444	10672
40	446	10440
41	448	10223
42	450	10021
43	454	9871
44	456	9685
45	458	9507
46	460	9330
47	462	9166
48	464	9005
49	466	8854
50	468	8724
51	470	8582
52	472	8448
53	474	8315
54	476	8189
55	478	8066
56	482	7987
57	485	7879
58	487	7771
59	489	7665
60	491	7563
61	493	7461
62	496	7386
63	498	7287
64	499	7191
65	501	7098
66	503	7007
67	504	6918
68	506	6833
69	508	6762
70	512	6708
71	515	6642
72	517	6571
73	519	6501
74	521	6428
75	523	6359
76	525	6304
77	527	6238
78	529	6172
79	531	6108
80	532	6044
81	534	5982
82	535	5914
83	536	5855
84	540	5814
85	541	5757
86	543	5702
87	545	5651
88	547	5602
89	549	5551
90	550	5500
91	554	5468
92	556	5428
93	559	5389
94	560	5340
95	562	5292
96	563	5248
97	565	5207
98	567	5163
99	571	5140
100	572	5100
101	576	5073
102	579	5045
103	581	5006
104	584	4982
105	587	4956
106	590	4927
107	592	4890
108	594	4855
109	596	4826
110	600	4808
111	603	4784
112	605	4753
113	609	4733
114	611	4702
115	616	4698
116	618	4667
117	620	4639
118	622	4609
119	624	4581
120	626	4552
121	631	4541
122	633	4517
123	636	4495
124	638	4470
125	640	4441
126	641	4411
127	646	4406
128	648	4380
129	651	4357
130	653	4334
131	655	4308
132	658	4295
133	662	4280
134	664	4258
135	666	4232
136	668	4211
137	670	4185
138	671	4161
139	675	4151
140	678	4130
141	680	4112
142	682	4091
143	685	4072
144	688	4061
145	692	4050
146	694	4032
147	698	4021
148	700	3999
149	705	3996
150	707	3977
151	711	3967
152	715	3961
153	721	3961
154	723	3942
155	726	3932
156	729	3916
157	736	3924
158	739	3913
159	741	3895
160	743	3874
161	746	3859
162	753	3867
163	755	3851
164	759	3844
165	761	3828
166	768	3834
167	771	3819
168	774	3809
169	777	3793
170	783	3796
171	784	3777
172	787	3763
173	790	3752
174	792	3736
175	795	3724
176	798	3713
177	800	3697
178	802	3678
179	803	3662
180	808	3659
181	810	3641
182	811	3623
183	813	3605
184	814	3588
185	815	3570
186	817	3553
